subject,sona_id,curTime,totalTime_mins,screen_width,screen_height,window_width,window_height,age,gender,race,ethnicity,vision,comments,cog_effort_q1,cog_effort_q2,cog_effort_q3,cog_effort_q4,cog_effort_q5,cog_effort_q6,cog_effort_q7,cog_effort_q8,cog_effort_q9,cog_effort_q10,cog_effort_q11,cog_effort_q12,cog_effort_q13,cog_effort_q14,cog_effort_q15,cog_effort_q16,cog_effort_q17,cog_effort_q18
oxwnz6vt4zp,13466,26/03/2022@16:18:11,null,1440,900,1440,1209,19,female,asian,not_hispanic,normal,,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_disagree,,neutral,somewhat_agree,somewhat_agree,neutral,somewhat_agree,somewhat_disagree,neutral,neutral,somewhat_disagree,somewhat_disagree,somewhat_disagree,neutral
nqlwzu9zbi8,13414,28/03/2022@17:46:45,null,1440,900,1425,1209,20,female,white,hispanic,normal,I knew that I could manage 32 objects on the screen so I usually chose the options that were guaranteed lower than or slightly above 32.,somewhat_agree,somewhat_agree,somewhat_disagree,somewhat_disagree,neutral,strongly_agree,neutral,somewhat_agree,somewhat_disagree,somewhat_disagree,strongly_agree,strongly_disagree,somewhat_agree,somewhat_disagree,somewhat_agree,neutral,somewhat_agree,neutral
i1g33cu2zi,13341,28/03/2022@16:31:38,null,1440,900,1427,1207,18,male,white,not_hispanic,normal,,neutral,somewhat_disagree,somewhat_agree,neutral,somewhat_agree,strongly_disagree,somewhat_agree,strongly_agree,somewhat_agree,neutral,somewhat_agree,somewhat_agree,neutral,somewhat_agree,neutral,somewhat_agree,strongly_disagree,neutral
11ebzd4ncngc,13554,28/03/2022@11:11:17,null,1536,864,1519,1215,20,male,"white,black",hispanic,normal,I felt better taking more risks when outcomes were decreased because I felt that there was less to lose and more to gain.,somewhat_agree,neutral,neutral,neutral,neutral,neutral,neutral,somewhat_agree,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
c5m1nlwec5s,13574,28/03/2022@09:02:34,null,1536,960,1519,1215,19,male,white,hispanic,normal,I had no preference,strongly_agree,strongly_agree,neutral,strongly_agree,neutral,neutral,strongly_agree,neutral,strongly_agree,neutral,neutral,neutral,neutral,neutral,somewhat_agree,strongly_agree,somewhat_disagree,neutral
ee85izuzu3,13312,28/03/2022@08:47:01,null,1536,864,1519,1214,19,male,white,not_hispanic,normal,,somewhat_agree,strongly_disagree,neutral,somewhat_agree,neutral,somewhat_disagree,somewhat_agree,neutral,neutral,neutral,neutral,neutral,neutral,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree
bgox0ziq1zd,13448,28/03/2022@20:11:24,null,1280,800,1280,1209,18,male,"white,no_response",not_hispanic,normal,,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_agree
j0ku0ba5mw,13585,28/03/2022@11:27:44,null,1440,900,1175,1209,18,female,white,not_hispanic,corrected,,strongly_disagree,somewhat_agree,somewhat_disagree,neutral,strongly_disagree,somewhat_agree,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_agree,somewhat_agree,somewhat_disagree,neutral,strongly_agree,somewhat_disagree,somewhat_agree,somewhat_disagree,somewhat_agree
9dbezdoz6kh,13622,27/03/2022@22:12:18,null,1440,900,1440,1209,19,female,na,na,na,,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,somewhat_agree,somewhat_disagree,neutral,neutral,neutral,neutral,somewhat_agree,neutral,somewhat_disagree,neutral,somewhat_agree,neutral,neutral,neutral
60go91ytq6w,13313,28/03/2022@09:50:10,null,1536,864,1519,1215,20,female,white,not_hispanic,corrected,In both situations I preferred the safe option. The couple times I felt confident enough to pick the risky option I got the risky option.,strongly_disagree,strongly_disagree,somewhat_agree,somewhat_agree,somewhat_disagree,strongly_disagree,somewhat_agree,neutral,neutral,somewhat_agree,somewhat_disagree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,somewhat_disagree,strongly_agree,strongly_disagree
vftb7djusr,13487,28/03/2022@13:00:16,null,1440,900,1440,1209,19,male,asian,not_hispanic,corrected,,strongly_agree,somewhat_agree,somewhat_agree,somewhat_agree,neutral,somewhat_disagree,neutral,somewhat_agree,somewhat_disagree,strongly_agree,strongly_agree,strongly_agree,neutral,neutral,somewhat_agree,somewhat_agree,strongly_agree,somewhat_agree
